Nutrient,Recommended,Tolerable
Cyanidin,0.0,0.0
Proanthocyanidin (dimer-A linkage),0.0,0.0
Proanthocyanidin monomers,0.0,0.0
Proanthocyanidin dimers,0.0,0.0
Proanthocyanidin trimers,0.0,0.0
Proanthocyanidin 4-6mers,0.0,0.0
Proanthocyanidin 7-10mers,0.0,0.0
Proanthocyanidin polymers (>10mers),0.0,0.0
Delphinidin,0.0,0.0
Malvidin,0.0,0.0
Pelargonidin,0.0,0.0
Peonidin,0.0,0.0
Petunidin,0.0,0.0
"Flavans, total",0.0,0.0
"Catechins, total",0.0,0.0
Catechin,0.0,0.0
Epigallocatechin,0.0,0.0
Epicatechin,0.0,0.0
Epicatechin-3-gallate,0.0,0.0
Epigallocatechin-3-gallate,0.0,0.0
"Procyanidins, total",0.0,0.0
Theaflavins,0.0,0.0
Thearubigins,0.0,0.0
"Flavanones, total",0.0,0.0
Eriodictyol,0.0,0.0
Hesperetin,0.0,0.0
Isosakuranetin,0.0,0.0
Liquiritigenin,0.0,0.0
Naringenin,0.0,0.0
"Flavones, total",0.0,0.0
Apigenin,0.0,0.0
Chrysoeriol,0.0,0.0
Diosmetin,0.0,0.0
Luteolin,0.0,0.0
Nobiletin,0.0,0.0
Sinensetin,0.0,0.0
Tangeretin,0.0,0.0
"Flavonols, total",0.0,0.0
Isorhamnetin,0.0,0.0
Kaempferol,0.0,0.0
Limocitrin,0.0,0.0
Myricetin,0.0,0.0
Quercetin,0.0,0.0
Theogallin,0.0,0.0
"Theaflavin -3,3' -digallate",0.0,0.0
Theaflavin -3' -gallate,0.0,0.0
Theaflavin -3 -gallate,0.0,0.0
(+) -Gallo catechin,0.0,0.0
(+)-Catechin 3-gallate,0.0,0.0
(+)-Gallocatechin 3-gallate,0.0,0.0
Mannose,0.0,0.0
Triose,0.0,0.0
Tetrose,0.0,0.0
Other Saccharides,0.0,0.0
Inulin,0.0,0.0
"PUFA 18:3 n-3 c,c,c (ALA)",0.0,0.0
PUFA 20:3 n-3,0.0,0.0
PUFA 20:3 n-6,0.0,0.0
PUFA 20:4 n-3,0.0,0.0
PUFA 20:4 n-6,0.0,0.0
PUFA 18:3i,0.0,0.0
PUFA 21:5,0.0,0.0
PUFA 22:4,0.0,0.0
MUFA 18:1-11 t (18:1t n-7),0.0,0.0
MUFA 18:1-11 c (18:1c n-7),0.0,0.0
PUFA 20:3 n-9,0.0,0.0
"Sugars, total including NLEA",0.0,0.0
SFA 5:0,0.0,0.0
SFA 7:0,0.0,0.0
SFA 9:0,0.0,0.0
SFA 21:0,0.0,0.0
SFA 23:0,0.0,0.0
MUFA 12:1,0.0,0.0
MUFA 14:1 c,0.0,0.0
MUFA 17:1 c,0.0,0.0
TFA 17:1 t,0.0,0.0
MUFA 20:1 c,0.0,0.0
TFA 20:1 t,0.0,0.0
MUFA 22:1 n-9,0.0,0.0
MUFA 22:1 n-11,0.0,0.0
PUFA 18:2 c,0.0,0.0
TFA 18:2 t,0.0,0.0
PUFA 18:3 c,0.0,0.0
TFA 18:3 t,0.0,0.0
PUFA 20:3 c,0.0,0.0
PUFA 22:3,0.0,0.0
PUFA 20:4c,0.0,0.0
PUFA 20:5c,0.0,0.0
PUFA 22:5 c,0.0,0.0
PUFA 22:6 c,0.0,0.0
PUFA 20:2 c,0.0,0.0
Proximate,0.0,0.0
trans-beta-Carotene,0.0,0.0
trans-Lycopene,0.0,0.0
"Cryptoxanthin, alpha",0.0,0.0
Total dietary fiber (AOAC 2011.25),0.0,0.0
Insoluble dietary fiber (IDF),0.0,0.0
Soluble dietary fiber (SDFP+SDFS),0.0,0.0
Soluble dietary fiber (SDFP),0.0,0.0
Soluble dietary fiber (SDFS),0.0,0.0
High Molecular Weight Dietary Fiber (HMWDF),0.0,0.0
Carbohydrates,0.0,0.0
Other carotenoids,0.0,0.0
Tocopherols and tocotrienols,0.0,0.0
Amino acids,0.0,0.0
Minerals,0.0,0.0
Lipids,0.0,0.0
Proximates,0.0,0.0
Vitamins and Other Components,0.0,0.0
Total Tocopherols,0.0,0.0
Total Tocotrienols,0.0,0.0
Stigmastadiene,0.0,0.0
Delta-7-Stigmastenol,0.0,0.0
Daidzin,0.0,0.0
Genistin,0.0,0.0
Glycitin,0.0,0.0
Ergothioneine,0.0,0.0
Beta-glucan,0.0,0.0
Vitamin D4,0.0,0.0
Ergosta-7-enol,0.0,0.0
"Ergosta-7,22-dienol",0.0,0.0
"Ergosta-5,7-dienol",0.0,0.0
Verbascose,0.0,0.0
Oligosaccharides.1,0.0,0.0
Low Molecular Weight Dietary Fiber (LMWDF),0.0,0.0
